asset_id,asset_type,name,district,category,photo_strategy,wikipedia_api_url,wikipedia_search_url,wikimedia_commons_search_url,info_strategy,photo_match_rule
MH-F-001,FORT,Ahmednagar Fort,Ahilyanagar,FORT, — ,https://en.wikipedia.org/w/api.php,https://en.wikipedia.org/wiki/Special:Search?search=Ahmednagar+Fort,,Live Wikipedia extract when an exact/strong destination match exists; otherwise use registry fields and mark missing values PENDING,Wikipedia lead image first; Wikimedia Commons exact-name fallback
MH-F-002,FORT,Akluj Fort,Solapur,FORT, — ,https://en.wikipedia.org/w/api.php,https://en.wikipedia.org/wiki/Special:Search?search=Akluj+Fort,,Live Wikipedia extract when an exact/strong destination match exists; otherwise use registry fields and mark missing values PENDING,Wikipedia lead image first; Wikimedia Commons exact-name fallback
MH-F-003,FORT,Ambagar Fort,Bhandara,FORT, — ,https://en.wikipedia.org/w/api.php,https://en.wikipedia.org/wiki/Special:Search?search=Ambagar+Fort,,Live Wikipedia extract when an exact/strong destination match exists; otherwise use registry fields and mark missing values PENDING,Wikipedia lead image first; Wikimedia Commons exact-name fallback
MH-F-004,FORT,Daulatabad / Devgiri Fort,Chhatrapati Sambhajinagar,FORT, — ,https://en.wikipedia.org/w/api.php,https://en.wikipedia.org/wiki/Special:Search?search=Daulatabad+/+Devgiri+Fort,,Live Wikipedia extract when an exact/strong destination match exists; otherwise use registry fields and mark missing values PENDING,Wikipedia lead image first; Wikimedia Commons exact-name fallback
MH-F-005,FORT,Gawilgad Fort,Amravati,FORT, — ,https://en.wikipedia.org/w/api.php,https://en.wikipedia.org/wiki/Special:Search?search=Gawilgad+Fort,,Live Wikipedia extract when an exact/strong destination match exists; otherwise use registry fields and mark missing values PENDING,Wikipedia lead image first; Wikimedia Commons exact-name fallback
MH-F-006,FORT,Harishchandragad Fort,Ahilyanagar,FORT, — ,https://en.wikipedia.org/w/api.php,https://en.wikipedia.org/wiki/Special:Search?search=Harishchandragad+Fort,,Live Wikipedia extract when an exact/strong destination match exists; otherwise use registry fields and mark missing values PENDING,Wikipedia lead image first; Wikimedia Commons exact-name fallback
MH-F-007,FORT,Jaigad Fort,Ratnagiri,FORT, — ,https://en.wikipedia.org/w/api.php,https://en.wikipedia.org/wiki/Special:Search?search=Jaigad+Fort,,Live Wikipedia extract when an exact/strong destination match exists; otherwise use registry fields and mark missing values PENDING,Wikipedia lead image first; Wikimedia Commons exact-name fallback
MH-F-008,FORT,Kandhar Fort,Nanded,FORT, — ,https://en.wikipedia.org/w/api.php,https://en.wikipedia.org/wiki/Special:Search?search=Kandhar+Fort,,Live Wikipedia extract when an exact/strong destination match exists; otherwise use registry fields and mark missing values PENDING,Wikipedia lead image first; Wikimedia Commons exact-name fallback
MH-F-009,FORT,Laling Fort,Dhule,FORT, — ,https://en.wikipedia.org/w/api.php,https://en.wikipedia.org/wiki/Special:Search?search=Laling+Fort,,Live Wikipedia extract when an exact/strong destination match exists; otherwise use registry fields and mark missing values PENDING,Wikipedia lead image first; Wikimedia Commons exact-name fallback
MH-F-010,FORT,Lohagad Fort,Pune,FORT, — ,https://en.wikipedia.org/w/api.php,https://en.wikipedia.org/wiki/Special:Search?search=Lohagad+Fort,,Live Wikipedia extract when an exact/strong destination match exists; otherwise use registry fields and mark missing values PENDING,Wikipedia lead image first; Wikimedia Commons exact-name fallback
MH-F-011,FORT,Murud-Janjira Fort,Raigad,FORT, — ,https://en.wikipedia.org/w/api.php,https://en.wikipedia.org/wiki/Special:Search?search=Murud-Janjira+Fort,,Live Wikipedia extract when an exact/strong destination match exists; otherwise use registry fields and mark missing values PENDING,Wikipedia lead image first; Wikimedia Commons exact-name fallback
MH-F-012,FORT,Nagardhan Fort,Nagpur,FORT, — ,https://en.wikipedia.org/w/api.php,https://en.wikipedia.org/wiki/Special:Search?search=Nagardhan+Fort,,Live Wikipedia extract when an exact/strong destination match exists; otherwise use registry fields and mark missing values PENDING,Wikipedia lead image first; Wikimedia Commons exact-name fallback
MH-F-013,FORT,Naldurg Fort,Dharashiv,FORT, — ,https://en.wikipedia.org/w/api.php,https://en.wikipedia.org/wiki/Special:Search?search=Naldurg+Fort,,Live Wikipedia extract when an exact/strong destination match exists; otherwise use registry fields and mark missing values PENDING,Wikipedia lead image first; Wikimedia Commons exact-name fallback
MH-F-014,FORT,Narnala Fort,Akola,FORT, — ,https://en.wikipedia.org/w/api.php,https://en.wikipedia.org/wiki/Special:Search?search=Narnala+Fort,,Live Wikipedia extract when an exact/strong destination match exists; otherwise use registry fields and mark missing values PENDING,Wikipedia lead image first; Wikimedia Commons exact-name fallback
